Artifact ID,Title,Type,Version,Status,Owner,Repository path,Derived from,Created,Notes
ICE-GOV-001,Project ICE Charter,Governance,1.0,APPROVED,HANA-X AI,00_Governance/01_Project_Charter/ICE-GOV-001_Project-Charter.md,ICE-SRC-002; ICE-SRC-004,2026-07-14,Project mission and scope
ICE-GOV-002,HANA-X Copilot Master Authoring Guide,Governance and authoring standard,1.0,IN-REVIEW,Project ICE Editorial Team,00_Governance/02_Master_Authoring_Guide/ICE-GOV-002_Master-Authoring-Guide_v1.0_IN-REVIEW_2026-07-16.md,ICE-SRC-001..005; ICE-BIZ-001; ICE-ARCH-001; ICE-ARCH-002; ICE-SRC-012,2026-07-16,"Governs mission, audience, narrative, terminology, evidence, claims, chapters, diagrams, AI-assisted authoring, review, traceability, and release; Addendum 001 governs Executive Summary authoring."
ICE-GOV-006,HANA-X Copilot Detailed Table of Contents,Governance and publication blueprint,1.0,IN-REVIEW,Project ICE Publication Office,00_Governance/08_Publication_Blueprint/ICE-GOV-006_Detailed-Table-of-Contents/ICE-GOV-006_Detailed-Table-of-Contents_v1.0_IN-REVIEW_2026-07-16.md,ICE-GOV-002; ICE-GOV-007; ICE-FM-001; ICE-BIZ-001; ICE-ARCH-001; ICE-ARCH-002,2026-07-16,"Defines front matter, seven parts, thirty chapters, page budgets, source dependencies, figure plan, appendices, and authoring priority."
ICE-FM-001,Letter from the Founder,Front matter,1.0,PUBLISHED,Jarvis Richardson,11_Deliverables/01_Front_Matter/Web/HXC-ICE-FM-001_Letter-from-the-Founder_v1.0_PUBLISHED_WEB_2026-07-14.pdf,ICE-SRC-004,2026-07-14,Published artifact derived from ICE-SRC-004 v1.0; complete reproducibility release package is 12_Releases/Founder-Letter/v1.0.1; active claims exception recorded.
ICE-FM-002,Executive Summary,Front matter and executive decision brief,0.1,DRAFT,Project ICE Publication Office,04_White_Paper/00_Front_Matter/ICE-FM-002_Executive-Summary/02_Drafts/ICE-FM-002_Executive-Summary_v0.1_DRAFT_2026-07-16.md,ICE-FM-001; ICE-BIZ-001; ICE-ARCH-001; ICE-ARCH-002; ICE-SRC-003; ICE-SRC-005; ICE-SRC-012,2026-07-16,"First governed draft using a one-page Executive Decision Brief plus supporting Executive Summary; review required before IN-REVIEW."
ICE-WP-001,HANA-X Copilot flagship technical publication,White paper,0.1,PLANNED,HANA-X AI,04_White_Paper,ICE-SRC-001..005,2026-07-14,Target 60-80 pages
ICE-RTM-001,Requirements Traceability Matrix,Requirements,0.1,SCAFFOLDED,Product Architecture,01_Registers/ICE_Requirements_Traceability_Matrix.csv,ICE-SRC-003; ICE-SRC-005,2026-07-14,Will map sources through tests
ICE-ARCH-001,HANA-X Copilot Solution Architecture,Architecture specification,0.1,IN-REVIEW,HANA-X AI Architecture,05_Architecture/02_Component_Architecture/ICE-ARCH-001_HANA-X-Copilot-Solution-Architecture/ICE-ARCH-001_HANA-X-Copilot-Solution-Architecture_v0.1_IN-REVIEW_2026-07-16.md,ICE-SRC-008; ICE-SRC-009,2026-07-16,"Intent-to-Action reference architecture with Addendum 001 for n8n and multi-MCP integration; requires editorial, technical, SAP integration, security, source, and executive review."
ICE-ARCH-002,SAP S/4HANA Integration Endpoint Strategy,Architecture specification,0.1,IN-REVIEW,HANA-X AI Architecture,05_Architecture/03_SAP_Integration/ICE-ARCH-002_SAP-S4HANA-Integration-Endpoint-Strategy/ICE-ARCH-002_SAP-S4HANA-Integration-Endpoint-Strategy_v0.1_IN-REVIEW_2026-07-16.md,ICE-SRC-010,2026-07-16,"Governed endpoint tiers, N-1 compatibility policy, endpoint registry, SAP knowledge-source hierarchy, and documentation-MCP classification."
ICE-BIZ-001,Business Drivers for HANA-X Copilot,Business strategy and white-paper input,0.1,IN-REVIEW,HANA-X AI Strategy,04_White_Paper/00_Front_Matter/ICE-BIZ-001_Business-Drivers-for-HANA-X-Copilot/02_Drafts/ICE-BIZ-001_Business-Drivers-for-HANA-X-Copilot_v0.1_IN-REVIEW_2026-07-16.md,ICE-SRC-011,2026-07-16,"Strategic rationale, customer value, success thesis, measurable outcomes, risk conditions, and Executive Summary integration plan."
ICE-GOV-007,Project ICE Publication Roadmap,Governance and publication plan,1.0,IN-REVIEW,Project ICE Publication Office,00_Governance/08_Publication_Blueprint/ICE-GOV-007_Project-ICE-Publication-Roadmap/ICE-GOV-007_Project-ICE-Publication-Roadmap_v1.0_IN-REVIEW_2026-07-16.md,ICE-GOV-002; ICE-GOV-006; ICE-BIZ-001; ICE-ARCH-001; ICE-ARCH-002,2026-07-16,"Two-track roadmap targeting a content-complete candidate by 2026-08-19 and governed publication release by 2026-10-08."
