Source ID,Title,Author or organization,Source type,Authority tier,Publication date,Acquisition date,Original file name,Original URL,Repository path,Status,Topics,Intended use,License or rights,SHA-256,Supersedes,Notes
ICE-SRC-001,HANA-X Agentic OS White Paper,HANA-X AI,Internal published white paper,Primary,,2026-07-14,Web publication,https://www.hana-x.ai/HANA-X_Agentic_OS_White_Paper.html,02_Source_Materials/01_HANA-X_Internal/ICE-SRC-001_Agentic-OS-White-Paper/Originals/SOURCE-LOCATION.md,Accepted,Agentic OS; platform architecture; governance,Platform context and existing architecture,HANA-X-owned public publication,,,Original web snapshot pending controlled capture
ICE-SRC-002,Query Response,Jarvis Richardson / HANA-X AI,Internal direction,Primary,2026-07,2026-07-14,Query_Reponse.docx,,02_Source_Materials/01_HANA-X_Internal/ICE-SRC-002_Query-Response/Originals/ICE-SRC-002_Query-Response_Received-2026-07.docx,Accepted,Audience; positioning; scope; architecture; publication goals,Master authoring guide and all chapters,HANA-X-owned; owner-authorized for public Project ICE repository use,c5670a1aa985c7458d2216ba7466c9e924abb1ad94d0f46977388670c211f00d,,Authoritative product and publication direction; public repository authorization recorded 2026-07-16
ICE-SRC-003,HANA-X Copilot Business Case,HANA-X AI,Internal business case,Primary,2026-07,2026-07-14,HANA-X Copilot Business Case.docx,,02_Source_Materials/01_HANA-X_Internal/ICE-SRC-003_Copilot-Business-Case/Originals/ICE-SRC-003_Copilot-Business-Case_Received-2026-07.docx,Accepted,Procurement; OData; business value; workflows; governance,Flagship procurement use case,HANA-X-owned; owner-authorized for public Project ICE repository use,43736f94d789ee97abb3cc5ff4faf3bbc0dce0b0c81701a5940adfa078b94e9c,,Proof-of-value scenario; public repository authorization recorded 2026-07-16
ICE-SRC-004,Letter from the Founder,"Jarvis Richardson, Founder & Chief AI Officer, HANA-X AI",Founder vision,Primary,2026-07,2026-07-14,Letter from Founder.docx,,02_Source_Materials/01_HANA-X_Internal/ICE-SRC-004_Letter-from-the-Founder/Originals/ICE-SRC-004_Letter-from-the-Founder_v1.0_AUTHOR-FINAL_2026-07-14.docx,Accepted,ICE; Enterprise Intent Layer; Clean Core; on-premises; procurement,Front matter and strategic narrative,HANA-X-owned; owner-authorized for public Project ICE repository use,0a2d86d1cb5e905349ab94ac9321edb69e6b24fc354118b0ee55dfcb0e9f5514,ICE-SRC-004 prior intake dated 2026-07,Author-final source v1.0 accepted; prior intake retained immutably; publication derivative is ICE-FM-001 v1.0
ICE-SRC-005,HANA-X Enterprise AI Platform - Procurement Agent Specification,HANA-X AI,Internal technical specification,Primary,2026-07,2026-07-14,HANA-X Enterprise AI Platform – Procurement Agent Specification.docx,,02_Source_Materials/01_HANA-X_Internal/ICE-SRC-005_Procurement-Agent-Specification/Originals/ICE-SRC-005_Procurement-Agent-Specification_Received-2026-07.docx,Accepted,Functional requirements; architecture; SAP APIs; memory; security; NFRs,"Architecture, procurement, and requirements",HANA-X-owned; owner-authorized for public Project ICE repository use,668a4d6f05ab49815d3598fb07fdb8c23e1c1f469754186e7981ef8ce31e8519,,Legacy platform framing must be reconciled with Copilot product scope; public repository authorization recorded 2026-07-16
ICE-SRC-008,Brain Dump of the HANA-X Copilot Solution Architecture,Jarvis Richardson / HANA-X AI,Internal architecture working record,Contextual,,2026-07-16,Brain dump of the solution architecture.docx,,02_Source_Materials/07_Interviews_and_Working_Notes/ICE-SRC-008_Solution-Architecture-Brain-Dump/Originals/SOURCE-LOCATION.md,Proposed,solution architecture; CopilotKit; AG-UI; LangGraph; Ollama; MCP; SAP; context; ingestion; memory,Architecture discovery and derivation of ICE-ARCH-001,HANA-X-owned; owner-authorized for public Project ICE repository use,60488581e75c9e0e1f66ef353f47053e886b95959412c5a77abdb663da2130dd,,Contextual AI-assisted working record; original DOCX identity and SHA recorded in SOURCE-LOCATION.md; full normalized transcription retained; not primary technical evidence; independent verification required
ICE-SRC-009,n8n and Multi-MCP Architecture Supplement,Jarvis Richardson / HANA-X AI,Internal architecture working record,Contextual,,2026-07-16,Pasted text.txt,,02_Source_Materials/07_Interviews_and_Working_Notes/ICE-SRC-009_n8n-and-Multi-MCP-Architecture-Supplement/Originals/ICE-SRC-009_n8n-and-Multi-MCP-Architecture-Supplement_RECEIVED_2026-07-16.txt,Proposed,n8n; MCP; FastMCP; multi-client gateway; asynchronous workflow; enterprise events,Update ICE-ARCH-001 and derive ADR-017 and requirements,HANA-X-owned; owner-authorized for public Project ICE repository use,,ICE-SRC-008 architecture discovery,Contextual AI-assisted supplement; repository original is a governed transcription; exact attachment hash pending controlled binary intake; independent verification required
ICE-SRC-010,SAP S/4HANA Endpoints Working Draft,Jarvis Richardson / HANA-X AI,Internal architecture working record,Contextual,,2026-07-16,s4-endpoints.docx,,02_Source_Materials/07_Interviews_and_Working_Notes/ICE-SRC-010_SAP-S4HANA-Endpoints-Working-Draft/Originals/SOURCE-LOCATION.md,Accepted,SAP S/4HANA endpoints; OData; REST; SOAP; IDoc; RFC/BAPI; events; MCP,Derive ICE-ARCH-002 and endpoint catalog,HANA-X-owned; owner-authorized for public Project ICE repository use,7bce4cfcdb1f8d8d4d9fe255dd4c3f0c28d88983df89a5da3eb0bb9d39f2a051,,Contextual AI-assisted source; official SAP evidence and target-system validation required
ICE-SRC-011,Business Driver for HANA-X Copilot - Working Analysis,Jarvis Richardson / HANA-X AI,Internal business and market analysis,Contextual,,2026-07-16,Business_Driver_4_HXCopilot.pdf,,02_Source_Materials/07_Interviews_and_Working_Notes/ICE-SRC-011_Business-Driver-for-HANA-X-Copilot/Originals/SOURCE-LOCATION.md,Accepted,business drivers; SAP market context; cloud backlog; agentic AI competition; Enterprise Intent Layer,Derive ICE-BIZ-001 and inform ICE-FM-002 Executive Summary,HANA-X-owned; owner-authorized for public Project ICE repository use,612fce253738883e4406e2486879b89dc180cda2dc7e3089712442106ed4b5bd,,Contextual AI-assisted market analysis; original retained immutably; exact financial and competitive claims require independent verification
ICE-SRC-012,Executive Summary Writing Guidance,Project owner-provided guidance,Internal editorial and executive-writing guidance,Contextual,,2026-07-16,exe_summary_instruct.docx,,02_Source_Materials/07_Interviews_and_Working_Notes/ICE-SRC-012_Executive-Summary-Writing-Guidance/Originals/ICE-SRC-012_Executive-Summary-Writing-Guidance_RECEIVED_2026-07-16.docx,Accepted,executive summary; decision brief; scannability; problem solution proof ask; claims discipline,Derive ICE-GOV-002-ADD-001 and govern ICE-FM-002,HANA-X-owned; owner-authorized for public Project ICE repository use,9165c15a1e5dc2431be69d48bec7d72cd4440ef4f8ef65701c3722e73ba6798f,,Authoring guidance only; generic example metrics and budget placeholders are not HANA-X claims or evidence
