Requirement ID,Category,Requirement,Source IDs,Architecture Component,Acceptance Criterion,Status
ICE-UX-001,User experience,The Copilot shall accept natural-language requests and maintain conversational context.,ICE-SRC-008,Experience layer,A multi-turn test resolves references from prior turns without requiring repetition.,Proposed
ICE-UX-002,User experience,The Copilot shall ask targeted clarification questions when required business fields are missing or ambiguous.,ICE-SRC-008,Intent Refinement and Clarification Service,An ambiguous procurement request produces a grounded question and does not execute a write.,Proposed
ICE-UX-003,User experience,"The Copilot shall support open-text, multiple-choice, correction, confirmation, and approval interactions.",ICE-SRC-008,CopilotKit / AG-UI,Each interaction type renders and returns a typed backend event.,Proposed
ICE-UX-004,User experience,The clarification budget shall be configurable by business process and risk.,ICE-SRC-008,Intent Refinement and Clarification Service,A policy configuration changes the permitted clarification turns without code modification.,Proposed
ICE-AI-001,AI and agent,The baseline model runtime shall operate on premises through Ollama without requiring a hosted frontier-model service.,ICE-SRC-008,Ollama model runtime,A complete reference workflow runs with network egress to hosted LLM services disabled.,Proposed
ICE-AI-002,AI and agent,Model selection shall be configuration and benchmark driven rather than hard-coded into business logic.,ICE-SRC-008,Model runtime,A model version can be changed through approved configuration and the benchmark record identifies the selected model.,Proposed
ICE-AI-003,AI and agent,All model-generated structured data shall pass deterministic structural and business validation before tool execution.,ICE-SRC-008,Validation layer,"Malformed, invalid-code, and unauthorized payload tests are rejected before the SAP tool call.",Proposed
ICE-SAP-002,SAP integration,"SAP operations shall execute only through registered, versioned, and authorized tools.",ICE-SRC-008,SAP MCP tool service,An arbitrary or unregistered SAP URL cannot be invoked by the agent.,Proposed
ICE-SAP-003,SAP integration,"Each SAP tool shall declare edition, release, service, entity, schema, authorization, approval, idempotency, and error behavior.",ICE-SRC-008,Tool registry,Tool-contract validation fails when a required declaration is missing.,Proposed
ICE-SAP-004,SAP integration,"The integration shall use released and supported SAP APIs, OData services, events, or separately governed approved interfaces.",ICE-SRC-008,SAP integration layer,Endpoint inventory maps every tool to a governed SAP interface and supported release.,Proposed
ICE-SEC-002,Security,The system shall preserve the initiating user identity and applicable SAP authorization context for transaction execution.,ICE-SRC-008,Identity and authorization,SAP and Copilot audit records attribute a test transaction to the initiating user or documented compensating identity pattern.,Proposed
ICE-SEC-003,Security,A changed write payload shall invalidate any prior human approval.,ICE-SRC-008,Approval service,Editing an approved payload forces a new approval before execution.,Proposed
ICE-SEC-004,Security,"The system shall not place access tokens, credentials, or unrestricted enterprise records in model prompts.",ICE-SRC-008,Secrets and model isolation,Prompt and trace inspection finds no secrets or raw bearer tokens.,Proposed
ICE-DATA-001,Data and memory,"PostgreSQL shall remain the authoritative record for artifacts, workflow state, indexing state, policies, and audit evidence.",ICE-SRC-008,PostgreSQL,All Qdrant and graph records can be traced to a canonical PostgreSQL record.,Proposed
ICE-DATA-002,Data and memory,Qdrant and graph retrieval stores shall be rebuildable indexes rather than authoritative records.,ICE-SRC-008,Qdrant / LightRAG,A clean index rebuild from canonical records produces complete searchable coverage.,Proposed
ICE-DATA-003,Data and memory,PostgreSQL-to-retrieval-index synchronization shall use a transactional outbox and idempotent workers.,ICE-SRC-008,Ingestion and indexing,Failure and retry tests produce no lost canonical record and no duplicate active index point.,Proposed
ICE-DATA-004,Data and memory,"User preferences shall be inspectable, correctable, removable, and unable to override current SAP values or policy.",ICE-SRC-008,Preference memory,A user can view/delete a preference and a conflicting SAP value or policy takes precedence.,Proposed
ICE-ING-001,Ingestion,Original uploaded files shall be preserved immutably before normalization and indexing.,ICE-SRC-008,Docling ingestion,The source hash remains verifiable and the original is not modified during reprocessing.,Proposed
ICE-ING-002,Ingestion,"Web acquisition shall enforce domain policy, SSRF protection, provenance, page hashing, rights review, and user approval before permanent ingestion.",ICE-SRC-008,Crawl4AI acquisition,"Blocked/private addresses are denied and a retained page has URL, retrieval time, hash, and approval evidence.",Proposed
ICE-OBS-001,Observability,"Every workflow shall produce an auditable trace of intent, clarification, context, plan, policy, approval, tools, SAP results, errors, and final response.",ICE-SRC-008,Observability and audit,A completed procurement test can be reconstructed from linked trace and audit identifiers.,Proposed
ICE-NFR-001,Non-functional,"The agent runtime shall support checkpointing, interruption, safe resumption, and idempotent retry for long-running workflows.",ICE-SRC-008,LangGraph runtime,A paused workflow resumes after restart without duplicate write execution.,Proposed
ICE-NFR-002,Non-functional,"Vector, graph, prompt, model, tool, and workflow versions shall be recorded for reproducibility.",ICE-SRC-008,Configuration and provenance,A prior execution can be associated with the exact component versions used.,Proposed
